SL.NO,CHAT,REPLY
676,Revenue expenditure example,"Eg. Salary paid, Rent paid, Purchase of Materials etc."
677,example for Revenue expenditure,"Eg. Salary paid, Rent paid, Purchase of Materials etc."
678,Revenue Profit / Loss means,Profit / Loss earned by an enterprise in the normal course of business is called Revenue Profit / Revenue Loss.
679,what is Revenue Profit / Loss,Profit / Loss earned by an enterprise in the normal course of business is called Revenue Profit / Revenue Loss.
680, describe Revenue Profit / Loss,Profit / Loss earned by an enterprise in the normal course of business is called Revenue Profit / Revenue Loss.
681,briefly explain about Revenue Profit / Loss,Profit / Loss earned by an enterprise in the normal course of business is called Revenue Profit / Revenue Loss.
682,Revenue Profit / Loss example,"Eg. Profit on sale of shares by a broker, Loss on destruction of stock."
683,example for Revenue Profit / Loss,"Eg. Profit on sale of shares by a broker, Loss on destruction of stock."
684,Revenue receipt means,Amount received or income earned by an enterprise in the normal course of a business is known as a Revenue Receipt. Such receipt might be recurring in nature. It is shown on the credit side of the Revenue Statements.
685,what is Revenue receipt,Amount received or income earned by an enterprise in the normal course of a business is known as a Revenue Receipt. Such receipt might be recurring in nature. It is shown on the credit side of the Revenue Statements.
686,briefly explain about Revenue receipt,Amount received or income earned by an enterprise in the normal course of a business is known as a Revenue Receipt. Such receipt might be recurring in nature. It is shown on the credit side of the Revenue Statements.
687,describe Revenue receipt,Amount received or income earned by an enterprise in the normal course of a business is known as a Revenue Receipt. Such receipt might be recurring in nature. It is shown on the credit side of the Revenue Statements.
688,Revenue receipt example ,"Eg. Sale of goods, discount received, interest received on investments etc"
689,example for Revenue receipt,"Eg. Sale of goods, discount received, interest received on investments etc"
690,Revenue Statement means,Revenue Statement is a general term used to refer to a statement or an account thatshows the income and expenditure of a business
691,what is Revenue Statement,Revenue Statement is a general term used to refer to a statement or an account thatshows the income and expenditure of a business
692,describe Revenue Statement,Revenue Statement is a general term used to refer to a statement or an account thatshows the income and expenditure of a business
693,briefly explain about Revenue Statement,Revenue Statement is a general term used to refer to a statement or an account thatshows the income and expenditure of a business
694,Revenue Statement example,"Eg. Manufacturing A/c, Trading A/c, Profit & Loss A/c, Income & Expenditure A/c."
695,example for Revenue Statement,"Eg. Manufacturing A/c, Trading A/c, Profit & Loss A/c, Income & Expenditure A/c."
696,Royalty means,Royalty is a payment made by a user of a particular asset to the owner of the asset for its use. Such asset could be a copyright or a patent.
697,what is Royalty,Royalty is a payment made by a user of a particular asset to the owner of the asset for its use. Such asset could be a copyright or a patent.
698,briefly explain about Royalty,Royalty is a payment made by a user of a particular asset to the owner of the asset for its use. Such asset could be a copyright or a patent.
699,describe Royalty,Royalty is a payment made by a user of a particular asset to the owner of the asset for its use. Such asset could be a copyright or a patent.
700,Secured loan means,A loan or borrowing against which certain assets have been offered as a security is called Secured Loan
701,what is Secured loan,A loan or borrowing against which certain assets have been offered as a security is called Secured Loan
702,describe Secured loan,A loan or borrowing against which certain assets have been offered as a security is called Secured Loan
703,briefly explain about Secured loan,A loan or borrowing against which certain assets have been offered as a security is called Secured Loan
704,Selling expense means,Selling expenses are expenses incurred for facilitating or promoting the sale of goods or services
705,describe Selling expense,Selling expenses are expenses incurred for facilitating or promoting the sale of goods or services
706,briefly explain about Selling expense,Selling expenses are expenses incurred for facilitating or promoting the sale of goods or services
707,what is Selling expense,Selling expenses are expenses incurred for facilitating or promoting the sale of goods or services
708,Selling expense example,"Eg. Advertising expenses, Sales Promotion expenses, Discount allowed."
709,example for Selling expense,"Eg. Advertising expenses, Sales Promotion expenses, Discount allowed."
710,Share application means,Share application is a process where a Company making a fresh issue of shares invites bids or applicationsfromthe public forsubscription to these shares.
711,what is Share application,Share application is a process where a Company making a fresh issue of shares invites bids or applicationsfromthe public forsubscription to these shares.
712,describe Share application,Share application is a process where a Company making a fresh issue of shares invites bids or applicationsfromthe public forsubscription to these shares.
713,briefly explain about Share application,Share application is a process where a Company making a fresh issue of shares invites bids or applicationsfromthe public forsubscription to these shares.
714,Share allotment means,Share allotment is a process where a Company allots shares to the persons who have applied for the shares. A company will also collect a certain amount towards the paid-up value of the shares.
715, what is Share allotment,Share allotment is a process where a Company allots shares to the persons who have applied for the shares. A company will also collect a certain amount towards the paid-up value of the shares.
716,describe Share allotment,Share allotment is a process where a Company allots shares to the persons who have applied for the shares. A company will also collect a certain amount towards the paid-up value of the shares.
717,briefly explain about Share allotment,Share allotment is a process where a Company allots shares to the persons who have applied for the shares. A company will also collect a certain amount towards the paid-up value of the shares.
718,Specific identification method means,Specific Identification method is a method of valuation of inventory where the cost of each item of inventory is separately identified and considered
719,what is Specific identification method,Specific Identification method is a method of valuation of inventory where the cost of each item of inventory is separately identified and considered
720,describe Specific identification method,Specific Identification method is a method of valuation of inventory where the cost of each item of inventory is separately identified and considered
721,briefly explain about Specific identification method,Specific Identification method is a method of valuation of inventory where the cost of each item of inventory is separately identified and considered
722,Standard cost means,Standard cost is a pre-determined cost based upon engineering specifications and representing efficiency at specified level of production.
723,what is Standard cost,Standard cost is a pre-determined cost based upon engineering specifications and representing efficiency at specified level of production.
724,describe Standard cost,Standard cost is a pre-determined cost based upon engineering specifications and representing efficiency at specified level of production.
725,briefly explain about Standard cost,Standard cost is a pre-determined cost based upon engineering specifications and representing efficiency at specified level of production.
726,Standard costing means,Standard costing is a technique of costing used for measuring the efficiency and variance in costs by comparing the standard costs with the actual costs incurred.
727,what is Standard costing,Standard costing is a technique of costing used for measuring the efficiency and variance in costs by comparing the standard costs with the actual costs incurred.
728,describe Standard costing,Standard costing is a technique of costing used for measuring the efficiency and variance in costs by comparing the standard costs with the actual costs incurred.
729,briefly explain about Standard costing,Standard costing is a technique of costing used for measuring the efficiency and variance in costs by comparing the standard costs with the actual costs incurred.
730,Statement of affairs means,Statement of Affairs is a statement showing the list of assets & liabilities as on a particular date. This statement is not a part of the books of accounts
731,what is Statement of affairs,Statement of Affairs is a statement showing the list of assets & liabilities as on a particular date. This statement is not a part of the books of accounts
732, describe Statement of affairs,Statement of Affairs is a statement showing the list of assets & liabilities as on a particular date. This statement is not a part of the books of accounts
733,briefly explain about Statement of affairs,Statement of Affairs is a statement showing the list of assets & liabilities as on a particular date. This statement is not a part of the books of accounts
734,Straight line method means,Straight line method is a method of computing depreciation. The depreciation is calculated on the original cost of the asset.
735,what is Straight line method,Straight line method is a method of computing depreciation. The depreciation is calculated on the original cost of the asset.
736,briefly explain about Straight line method,Straight line method is a method of computing depreciation. The depreciation is calculated on the original cost of the asset.
737,describe Straight line method,Straight line method is a method of computing depreciation. The depreciation is calculated on the original cost of the asset.
738,Tangible assets means,Assets which have a physical form are called Tangible Assets
739,what is Tangible assets,Assets which have a physical form are called Tangible Assets
740,briefly explain about Tangible assets,Assets which have a physical form are called Tangible Assets
741,describe Tangible assets,Assets which have a physical form are called Tangible Assets
742,Tax invoice means,"Tax invoice is a document issued on the supply of goods or services indicating the nature of the goods or service supplied, the quantity supplied, the sale price and the GST levied on the supply."
743,what is Tax invoice,"Tax invoice is a document issued on the supply of goods or services indicating the nature of the goods or service supplied, the quantity supplied, the sale price and the GST levied on the supply."
744,describe Tax invoice,"Tax invoice is a document issued on the supply of goods or services indicating the nature of the goods or service supplied, the quantity supplied, the sale price and the GST levied on the supply."
745,briefly explain about Tax invoice,"Tax invoice is a document issued on the supply of goods or services indicating the nature of the goods or service supplied, the quantity supplied, the sale price and the GST levied on the supply."
746,TDS payable means,Tax Deducted at Source (TDS) payable is the amount of TDS which an enterprise has deducted on the payment made by it to another party. This amount is then payable to the Government and is in the nature of a current liability for the enterprise.
747,what is TDS payable,Tax Deducted at Source (TDS) payable is the amount of TDS which an enterprise has deducted on the payment made by it to another party. This amount is then payable to the Government and is in the nature of a current liability for the enterprise.
748,describe TDS payable,Tax Deducted at Source (TDS) payable is the amount of TDS which an enterprise has deducted on the payment made by it to another party. This amount is then payable to the Government and is in the nature of a current liability for the enterprise.
749,briefly explain about TDS payable,Tax Deducted at Source (TDS) payable is the amount of TDS which an enterprise has deducted on the payment made by it to another party. This amount is then payable to the Government and is in the nature of a current liability for the enterprise.
750,briefly explain about TDS receivable,TDS receivable isthe amount of income tax (TDS) deducted by another party on the payment made to us. This represents the amount of income tax paid on our behalf by the other party and is treated as a current asset
751,TDS receivable means,TDS receivable isthe amount of income tax (TDS) deducted by another party on the payment made to us. This represents the amount of income tax paid on our behalf by the other party and is treated as a current asset
752,describe TDS receivable,TDS receivable isthe amount of income tax (TDS) deducted by another party on the payment made to us. This represents the amount of income tax paid on our behalf by the other party and is treated as a current asset
753,what is TDS receivable,TDS receivable isthe amount of income tax (TDS) deducted by another party on the payment made to us. This represents the amount of income tax paid on our behalf by the other party and is treated as a current asset
754,Trading Account means,Trading Account is a part of Final Accounts. It shows the direct incomes and expenses incurred by a business through trading activity. The balancing figure in the trading account is Gross Profit or Gross Loss.
755, what isTrading Account,Trading Account is a part of Final Accounts. It shows the direct incomes and expenses incurred by a business through trading activity. The balancing figure in the trading account is Gross Profit or Gross Loss.
756,describe Trading Account,Trading Account is a part of Final Accounts. It shows the direct incomes and expenses incurred by a business through trading activity. The balancing figure in the trading account is Gross Profit or Gross Loss.
757,briefly explain about Trading Account,Trading Account is a part of Final Accounts. It shows the direct incomes and expenses incurred by a business through trading activity. The balancing figure in the trading account is Gross Profit or Gross Loss.
758,Underwriting means,Underwriting is an agreement where an underwriter agrees to subscribe to or purchase securities offered in an IPO (initial public offer) in case of under-subscription of the issue by the public.
759,what is Underwriting,Underwriting is an agreement where an underwriter agrees to subscribe to or purchase securities offered in an IPO (initial public offer) in case of under-subscription of the issue by the public.
760,describe Underwriting,Underwriting is an agreement where an underwriter agrees to subscribe to or purchase securities offered in an IPO (initial public offer) in case of under-subscription of the issue by the public.
761,briefly explain about Underwriting,Underwriting is an agreement where an underwriter agrees to subscribe to or purchase securities offered in an IPO (initial public offer) in case of under-subscription of the issue by the public.
762,Unsecured loans means,"Loanstaken against which no security has been offered are called Unsecured Loans. In case of a default, the lenders have no mechanism to recover the outstanding dues. The lenders can only opt for legal action to recover the dues"
763, what isUnsecured loans,"Loanstaken against which no security has been offered are called Unsecured Loans. In case of a default, the lenders have no mechanism to recover the outstanding dues. The lenders can only opt for legal action to recover the dues"
764,describe Unsecured loans,"Loanstaken against which no security has been offered are called Unsecured Loans. In case of a default, the lenders have no mechanism to recover the outstanding dues. The lenders can only opt for legal action to recover the dues"
765,briefly explain about Unsecured loans,"Loanstaken against which no security has been offered are called Unsecured Loans. In case of a default, the lenders have no mechanism to recover the outstanding dues. The lenders can only opt for legal action to recover the dues"
766,Valuation means,Valuation is an analytical process for determining the value of an asset or security. Valuation process involves use of various techniques to determine the value.
767,what is Valuation,Valuation is an analytical process for determining the value of an asset or security. Valuation process involves use of various techniques to determine the value.
768,briefly explain about Valuation,Valuation is an analytical process for determining the value of an asset or security. Valuation process involves use of various techniques to determine the value.
769,describe Valuation,Valuation is an analytical process for determining the value of an asset or security. Valuation process involves use of various techniques to determine the value.
770,Variable cost means,"Variable cost is a cost which varies with the change in output. If the output increases, the cost will increase proportionately and vice versa."
771,briefly explain about Variable cost,"Variable cost is a cost which varies with the change in output. If the output increases, the cost will increase proportionately and vice versa."
772,describe Variable cost,"Variable cost is a cost which varies with the change in output. If the output increases, the cost will increase proportionately and vice versa."
773, what isVariable cost,"Variable cost is a cost which varies with the change in output. If the output increases, the cost will increase proportionately and vice versa."
774,briefly explain about Weighted average cost,"Weighted average cost is the average cost determined after giving appropriate weightage to the various variables involved. Putting it simply, it can be computed by dividing the total cost by the total quantity."
775,describe Weighted average cost,"Weighted average cost is the average cost determined after giving appropriate weightage to the various variables involved. Putting it simply, it can be computed by dividing the total cost by the total quantity."
776,what is Weighted average cost,"Weighted average cost is the average cost determined after giving appropriate weightage to the various variables involved. Putting it simply, it can be computed by dividing the total cost by the total quantity."
777,Weighted average cost Variable cost,"Weighted average cost is the average cost determined after giving appropriate weightage to the various variables involved. Putting it simply, it can be computed by dividing the total cost by the total quantity."
778,Work in progress means,Work in Progress indicates the cost of work done / cost involved in manufacture of a product where the product has remained incomplete as on the reporting date. The cost of Work in Progress is treated as an inventory.
779, what isWork in progress,Work in Progress indicates the cost of work done / cost involved in manufacture of a product where the product has remained incomplete as on the reporting date. The cost of Work in Progress is treated as an inventory.
780,describe Work in progress,Work in Progress indicates the cost of work done / cost involved in manufacture of a product where the product has remained incomplete as on the reporting date. The cost of Work in Progress is treated as an inventory.
781,briefly explain about Work in progress,Work in Progress indicates the cost of work done / cost involved in manufacture of a product where the product has remained incomplete as on the reporting date. The cost of Work in Progress is treated as an inventory.
782,Working Capital means,Working Capital represents the amount of funds required to ensure the smooth running of the routine business activities. Technically it isrepresented asthe difference between the Current Assets & the Current Liabilities.
783,what is Working Capital,Working Capital represents the amount of funds required to ensure the smooth running of the routine business activities. Technically it isrepresented asthe difference between the Current Assets & the Current Liabilities.
784,describe Working Capital,Working Capital represents the amount of funds required to ensure the smooth running of the routine business activities. Technically it isrepresented asthe difference between the Current Assets & the Current Liabilities.
785,briefly explain about Working Capital,Working Capital represents the amount of funds required to ensure the smooth running of the routine business activities. Technically it isrepresented asthe difference between the Current Assets & the Current Liabilities.
786,Written down value method means,Written down value method is a method of computing depreciation. The depreciation is calculated on the book value or written down value of the asset
787,what is Written down value method,Written down value method is a method of computing depreciation. The depreciation is calculated on the book value or written down value of the asset
788,describe Written down value method,Written down value method is a method of computing depreciation. The depreciation is calculated on the book value or written down value of the asset
789,briefly explain about Written down value method,Written down value method is a method of computing depreciation. The depreciation is calculated on the book value or written down value of the asset
